"","Var1","Freq"
"1","Unknown/Missing Name",5
"2","Abbey Single Ale",2
"3","Altbier",13
"4","American Adjunct Lager",18
"5","American Amber / Red Ale",133
"6","American Amber / Red Lager",29
"7","American Barleywine",3
"8","American Black Ale",36
"9","American Blonde Ale",108
"10","American Brown Ale",70
"11","American Dark Wheat Ale",7
"12","American Double / Imperial IPA",105
"13","American Double / Imperial Pilsner",2
"14","American Double / Imperial Stout",9
"15","American India Pale Lager",3
"16","American IPA",424
"17","American Malt Liquor",1
"18","American Pale Ale (APA)",245
"19","American Pale Lager",39
"20","American Pale Wheat Ale",97
"21","American Pilsner",25
"22","American Porter",68
"23","American Stout",39
"24","American Strong Ale",14
"25","American White IPA",11
"26","American Wild Ale",6
"27","Baltic Porter",6
"28","Belgian Dark Ale",11
"29","Belgian IPA",18
"30","Belgian Pale Ale",24
"31","Belgian Strong Dark Ale",6
"32","Belgian Strong Pale Ale",7
"33","Berliner Weissbier",11
"34","Bière de Garde",7
"35","Bock",7
"36","Braggot",1
"37","California Common / Steam Beer",6
"38","Chile Beer",3
"39","Cider",37
"40","Cream Ale",29
"41","Czech Pilsener",28
"42","Doppelbock",7
"43","Dortmunder / Export Lager",6
"44","Dubbel",5
"45","Dunkelweizen",4
"46","English Barleywine",3
"47","English Bitter",3
"48","English Brown Ale",18
"49","English Dark Mild Ale",6
"50","English India Pale Ale (IPA)",13
"51","English Pale Ale",12
"52","English Pale Mild Ale",3
"53","English Stout",2
"54","English Strong Ale",4
"55","Euro Dark Lager",5
"56","Euro Pale Lager",2
"57","Extra Special / Strong Bitter (ESB)",20
"58","Flanders Oud Bruin",1
"59","Flanders Red Ale",1
"60","Foreign / Export Stout",6
"61","Fruit / Vegetable Beer",49
"62","German Pilsener",36
"63","Gose",10
"64","Grisette",1
"65","Hefeweizen",40
"66","Herbed / Spiced Beer",9
"67","Irish Dry Stout",5
"68","Irish Red Ale",12
"69","Keller Bier / Zwickel Bier",3
"70","Kölsch",42
"71","Kristalweizen",1
"72","Light Lager",12
"73","Low Alcohol Beer",1
"74","Maibock / Helles Bock",5
"75","Märzen / Oktoberfest",30
"76","Mead",5
"77","Milk / Sweet Stout",10
"78","Munich Dunkel Lager",4
"79","Munich Helles Lager",20
"80","Oatmeal Stout",18
"81","Old Ale",2
"82","Other",1
"83","Pumpkin Ale",23
"84","Quadrupel (Quad)",4
"85","Radler",3
"86","Rauchbier",2
"87","Roggenbier",2
"88","Russian Imperial Stout",11
"89","Rye Beer",18
"90","Saison / Farmhouse Ale",52
"91","Schwarzbier",9
"92","Scotch Ale / Wee Heavy",15
"93","Scottish Ale",19
"94","Shandy",3
"95","Smoked Beer",1
"96","Tripel",11
"97","Vienna Lager",20
"98","Wheat Ale",1
"99","Winter Warmer",15
"100","Witbier",51
